"event number",name,description,date,city,state,url,pdf,permits,champs,competitions
2986,"Colorado Cycling Zwift Winter Racing Series #1",,01/04/2022,"Hilly Route",Zwift,"www.zwift.com/events/view/2537429? eventSecret=f1df2ebe38613260bcae","CCO Zwift Winter Series 2022.pdf",,N,
2987,"Colorado Cycling Zwift Winter Racing Series #2",,01/11/2022,"Downtown Dolphin",Zwift," https://www.zwift.com/events/view/2537435? eventSecret=f1df2ebe38613260bcae","CCO Zwift Winter Series 2022.pdf",,N,
2988,"Colorado Cycling Zwift Winter Racing Series #3",,01/18/2022,"Makuri Islands - Spirit Forest",Zwift,"www.zwift.com/events/view/2537441? eventSecret=f1df2ebe38613260bcae","CCO Zwift Winter Series 2022.pdf",,N,
2989,"Colorado Cycling Zwift Winter Racing Series #4",,01/25/2022,"Innsbruck KOM After Party",Zwift,"www.zwift.com/events/view/2537446? eventSecret=f1df2ebe38613260bcae","CCO Zwift Winter Series 2022.pdf",,N,
2941,"Old Man Winter Rally",,02/06/2022,Lyons,CO,,,,N,
2892,"Frostbite Time Trial",,03/05/2022,"Fort Collins",CO,,,2022-5033,N,
2893,"Fountain Festival  (3/19-20)",,03/19/2022,Fountain,CO,,,,N,
2990,"Karen Hornbostel Mem'l TT #1 @ Cherry Creek",,03/23/2022,Denver,CO,,,,N,
2894,"Maverick Classic Road Race",,03/26/2022,"Grand Junction",CO,,"3_26 Maverick Classic_compressed.pdf",2022-4885,N,
2895,"Maverick Classic Criterium",,03/27/2022,"Grand Junction",CO,,"3_26 Maverick Classic_compressed.pdf",2022-4885,N,
2991,"Karen Hornbostel Mem'l TT #2 @ Cherry Creek",,03/30/2022,Denver,CO,,,,N,
2896,"Cobb Lake RR",,04/02/2022,Wellington,CO,www.bikereg.com/csu-cobb-cobb-lake-road-race-and-oval-criterium,"CSU_2022 Spring Race Weekend_Flyer.docx.pdf",2022-4825,N,
2897,"CSU Oval Criterium",,04/03/2022,"Fort Collins",CO,www.bikereg.com/csu-cobb-cobb-lake-road-race-and-oval-criterium,"CSU_2022 Spring Race Weekend_Flyer.docx.pdf",2022-4825,N,
2992,"Karen Hornbostel Mem'l TT #3 @ Cherry Creek",,04/06/2022,Denver,CO,,,,N,
2898,"NOCO Criterium",,04/09/2022,Loveland,CO,,,,N,
2900,"Red Leg Brewing Criterium",,04/10/2022,"Colorado Springs",CO,,,,N,
2993,"Karen Hornbostel Mem'l TT #4 @ Cherry Creek",,04/13/2022,Denver,CO,,,,N,
2901,"30th Anniversary Boulder Roubaix Road Race",,04/16/2022,Boulder,CO,www.boulderroubaix.com.,"2022 Boulder Roubaix Press Release.pdf",2022-4792,N,
2902,"CU Criterium",,04/17/2022,Boulder,CO,,,,N,
2994,"Karen Hornbostel Mem'l TT #5 @ Cherry Creek",,04/20/2022,Denver,CO,,,,N,
2903,"Pueblo Classic - Pueblo Chilly Criterium",,04/23/2022,Pueblo,CO,,"4:23 Pueblo.pdf",2022-4991,N,
2942,"Co2uT - A Desert Gravel Race",,04/23/2022,Fruita,CO,,,,N,
2904,"Pueblo Classic - Steel City  Road Race",,04/24/2022,Pueblo,CO,,"4:23 Pueblo.pdf",2022-4991,N,
2995,"Karen Hornbostel Mem'l TT #6 @ Cherry Creek",,04/27/2022,Denver,CO,,,,N,
2905,"Front Range Classic (Collegiate Only)",,04/30/2022,"Colorado Springs",CO,,,,N,
2906,"Front Range Classic (Collegiate Only)",,05/01/2022,"Colorado Springs",CO,,,,N,
2907,Koppenberg,,05/01/2022,Denver,CO,,,,N,
2996,"Karen Hornbostel Mem'l TT #7 @ Cherry Creek",,05/04/2022,Denver,CO,,,,N,
2976,"USAC Collegiate Road National Championships (5/6-8)",,05/06/2022,Augusta,GA,,,,N,
2908,"Lookout Mountain Hill Climb ~ CO Jr Hill Climb Championships",,05/07/2022,Golden,CO,,,,Y,
2909,"Louisville Citerium  ",,05/14/2022,Louisville,CO,,,,N,
2943,"Wild Horse Gravel",,05/14/2022,DeBeque,CO,,,,N,
2944,"Pony Xpress Gravel 160",,05/14/2022,Trinidad,CO,,,,N,
2945,"Royal Gorge Six & Twelve",,05/14/2022,"Canon City",CO,,,,N,
2910,"Steamboat Roubaix ",,05/15/2022,"Steamboat Springs",CO,,,,N,
2947,"Steamboat Roubaix Fun Ride",,05/16/2022,"Streamboat Springs",CO,,,,N,
2964,"Steamboat Gravel Fest  (5/16-22)",,05/16/2022,"Streamboat Springs",CO,,,,N,
2911,"Superior Morgul Classic- TT        ",,05/21/2022,Superior,CO,,,,N,
2912,"Superior Morgul Classic- Road Race     ",,05/22/2022,Superior,CO,,,,N,
2948,"The  Original Growler (5/28-29)",,05/28/2022,Gunnison,CO,,,,N,
2949,"Grand Enduro",,05/28/2022,"Grand Junction",CO,,,,N,
2913,"Bill Barr City Park Criterium ~ CO Senior Crit Championships",,06/04/2022,Denver,CO,,,,Y,
2951,"Elephant Rock",,06/05/2022,"Castle Rock",CO,,,,N,
2915,"P2P Mid-Week Series @ CSP #1",,06/08/2022,Golden,CO,,,,N,
2927,"Guanella HC",,06/11/2022,Georgetown,CO,,,,N,
2952,"Ride the Rockies (6/11-17)",,06/11/2022,Varies,CO,,,,N,
2914,"John Stenner Mem'l ~  CO Time Trial Championships",,06/12/2022,Keenesburg,CO,,,,Y,
2916,"P2P Mid-Week Series @ CSP #2",,06/15/2022,Golden,CO,,,,N,
2929,"Modern Market Criterium",,06/18/2022,Littleton,CO,,,,N,
2953,"Ride & Revel",,06/18/2022,Greeley,CO,,,,N,
2954,"The Hundo",,06/18/2022,"Buffalo Creek",CO,,,,N,
2928,"Sunshine HC",,06/19/2022,Boulder,CO,,,,N,
2917,"P2P Mid-Week Series @ CSP #3",,06/22/2022,Golden,CO,,,,N,
2977,"USAC PRO Road National Championships (6/23-26)",,06/23/2022,Knoxville,TN,,,,N,
2930,"Niwot RR",,06/25/2022,Niwot,CO,,,,N,
2955,"Bike MS: Colorado  (6/25-26)",,06/25/2022,Westminster,CO,,,,N,
2931,"Boulder Centre For Orthopedics & Spine Criterium",,06/26/2022,Golden,CO,,,,N,
2918,"P2P Mid-Week Series @ CSP #4",,06/29/2022,Golden,CO,,,,N,
2919,"P2P Mid-Week Series @ CSP #5",,07/06/2022,Golden,CO,,,,N,
2956,"Copper Triangle",,07/06/2022,Frisco,CO,,,,N,
2940,"NED Gravel",,07/09/2022,Nederland,CO,,,,N,
2932,"Longmont Criterium ~  CO Master Crit Championships",,07/10/2022,Longmont,CO,,,,Y,
2920,"P2P Mid-Week Series @ CSP #6",,07/13/2022,Golden,CO,,,,N,
2957,"Courage Classic (7/16-17)",,07/16/2022,"Copper Mtn",CO,,,,N,
2958,"719 Ride ",,07/16/2022,"Colorado Springs",CO,,,,N,
2959,"Tour de Victory",,07/16/2022,Boulder,CO,,,,N,
2978,"USAC Gran Fondo National Championships ",,07/17/2022," Ashville",NC,,,,N,
2979,"USAC MTB National Championships  & HS Festival (7/18-26)",,07/18/2022,"Winter Park",CO,,,,N,
2921,"P2P Mid-Week Series @ CSP #7",,07/20/2022,Golden,CO,,,,N,
2933,"Bob Cook Mem'l Mt Evans HC ",,07/23/2022,"Idaho Springs",CO,,,,N,
2939,"Bob Cook Mem'l Mt Evans HC Gran Fondo",,07/23/2022,"Idaho Springs",CO,,,,N,
2934,"Central Park Criterium",,07/24/2022,Denver,CO,,,,N,
2922,"P2P Mid-Week Series @ CSP #8",,07/27/2022,Golden,CO,,,,N,
2936,"Dove Valley Criterium",,07/30/2022,"Dove Valley",CO,,,,N,
2950,"Colorado Park 2 Park Challenge",,07/30/2022,Denver,CO,,,,N,
2961,"Telluride 100 Mountain Bike Race",,07/30/2022,Telluride,CO,,,,N,
2761,Tarry-It-Up,,07/30/2022,"Woodland Park",CO,mountaintopcyclingclub.com/woodland-park-cycling-events/tarry-it-up/,,,N,
2923,"P2P Mid-Week Series @ CSP #9",,08/03/2022,Golden,CO,,,,N,
2980,"USAC Master Road National Championships  (8/4-7)",,08/04/2022,Albuquerque,NM,,,,N,
2935,"Littleton Twilight Criterium",,08/06/2022,Littleton,CO,,,,N,
